De quel pays Tirana est-elle la capitale ? ;L'Albanie;La Bosnie;La Suisse;La Lettonie;L'Albanie
A quel écrivain doit-on le personnage de Boule-de-Suif ?;Picasso;Charles Baudelaire;Guy de Maupassant;Le Roi Heenok;Guy de Maupassant
En géométrie, combien de côtés possède un losange ? ;6;3;2;4;4
De quoi parle-t-on quand on évoque la robe d'un cheval ? ;De sa crinière;De son pelage;De sa queue;De son sabot;De son pelage
Si ce n'est pas un fruit, qu'est-ce qu'un kiwi ?;Un légume;Un crustacé;Un arbre;Un oiseau;Un oiseau
A quelle saison le boeuf est-il le plus fécond ? ;En printemps;En hiver;Aucune;La saison des pluies;Aucune
"Qu'est-ce que la ""Licorne"" dont Tintin perce le secret ?";Un temple sacré;Une créature mystique;Un bateau;Une fusée;Un bateau
Pour quel journal travaille Gaston Lagaffe ?;Journal Dupuis;Laiguille;La gazette;Spirou;Spirou
"Qui chante ""Aïcha"" en 1996 ?";Khaled;Gilbert Montagné;Maitre Gims;Patrick Bruel;Khaled
"Quel chevalier de la Table ronde est également appelé ""le Gallois"" ?";Perceval;Gauvin;Galahad;Lancelot;Perceval
"Qui chantait ""Tout doucement"" en 1985 ? ";Luis Fonsi;Mireille Mathieu;Bibie;France Gall;Bibie
De quel pays vient une voiture qui porte la lettre D ?;Allemagne;Dominique;Danemark;Dinstenstein;Allemagne
Dans les bras de quel dieu grec se retrouve-t-on en s'endormant ?;Morpheus;Chronos;Morphée;Zeus;Morphée
De quelle couleur sont les Simpson dans le célèbre dessin animé ?;Vert;Jaune;Rouge;Bleu;Jaune
Avec la laine de quel animal fait-on des vêtements en cachemire ?;La chèvre;Le bouquetin;La vache;Le loup;La chèvre
Quelle est la capitale de l'Argentine ? ;Buenos Aires;Buenosère;BuenosAir;Salta;Buenos Aires
"Qui a réalisé le film ""Shining"" en 1980 ?";Stanley Kubrick;Steven Spielberg;Quentin Tarantino;Anthony Hopkins;Stanley Kubrick
"De quelle saga cinématographique fait partie le film ""L'Oeil du tigre"" ? ";Rocky;Indiana Jones;Rush Hour;Karate Kid;Rocky
"Dans quel sport pratique-t-on ""l'arraché"" et ""l'épaulé jeté"" ?";Haltérophilie;Saut à la perche;L'Athlétisme;Basket;Haltérophilie
Quelle profession est concernée par le serment d'Hippocrate ?;Médecin;Psychologue;Policier;Inspecteur;Médecin
Combien d'étoiles comporte le drapeau américain ? ;52;50;48;60;50
Quel genre d'animal est le silure ?;Un poisson;Un oiseau;Un reptile;Un mamifère;Un poisson
Au rugby, quel nom porte le fait de marquer en aplatissant le ballon ? ;Un touchdown;Un lancer;Un écrasage;Un essai;Un essai
Quel est le prénom de la fiancée de Popeye ?;Olive;Pitch;Olivia;Pèche;Olive
Combien y a-t-il de signes de feu en astrologie ? ;3;2;5;7;3
Par quel terme désigne-t-on une partie nulle aux échecs ?;Pat;Draw;Null;Egalité;Pat
"A quel compositeur doit-on la célèbre ""Chevauchée des Walkyries"" ?";Richard Wagner;Jean-Sébastien Bach;Vivaldi;Chopin;Richard Wagner
"Combien de membres composaient le groupe ""Téléphone"" ?";4;3;2;5;4
Quelle couleur qualifie habituellement la ville de Toulouse ?;Rose;Jaune;Noir;Rouge;Rose
Aux USA, quelle est la principale base de lancement d'engins spatiaux ?;Vandenberg ;Cap Canaveral;Kodiak launch complex;Centre spatial kennedy;Cap Canaveral
Dans quel jeu télévisé faut-il éviter de tirer des boules noires ? ;Slam;Billard;Motus;Snooker;Motus
Quelle est la monnaie officielle du Canada ?;Le dollar;Le dollar canadien;Le franc canadien;L'euro;Le dollar canadien
Dans la mythologie grecque, qui est la première femme ?;Aphrodite;Pandore;Rhéa;Athéna;Pandore
De quel fruit la guigne est-elle une variété ?;La vigne;La cerise;Le raisin;L'orange;La cerise
"Quel footballeur est surnommé ""El Fenomeno"" ?";Ronaldo;Ronaldinho;Maradona;CR7;Ronaldo
Quelle est la capitale de la Thaïlande ?;Bangkok;Shiang Mai;Pattaya;Shiang Rei;Bangkok
Au tarot, que comporte une poignée ? ;Des atouts;Des freins;Des habits;Des cartes;Des atouts
Qui était Robert Surcouf ? ;Un pirate;Un marin ;Un corsaire;Un géneral de guerre;Un corsaire
Dans quelle ville Jeanne d'Arc fut-elle brûlée vive ? ;Lyon;Rouen;Aquitaine;Auvergne;Rouen
Quelle femme, enlevée par Pâris, a été à l'origine de la guerre de Troie ? ;Hélena;Hélène;Viviane;Simone;Hélène
Quel est le prénom de MC Solaar ? ;Tom;Claude;Paul;David;Claude
De quel pays viennent les Magyars ?;La Roumanie;Macao;Montserra;Hongrie;Hongrie
Combien d'albums un chanteur doit-il vendre pour recevoir un disque d'or ?;100'000;70'000;80'000;75'000;75'000
De quel moyen de locomotion le grand bi est-il l'ancêtre ?;Le dirigeable;Le monocycle;Le trycycle;La bicyclette;La bicyclette
Quel film d'animation a pour héros Woody le cow-boy et Buzz l'éclair ?;Small Soldiers;Cars;Robots;Toy Story;Toy Story
Quelle est la particularité du tonneau des Danaïdes ?;Il ne se dilate jamais;Il est sans fond ;Il est tout le temps ouvert;Il est en cristal;Il est sans fond
Quel cavalier est le maître de Rossinante ? ;Don Quichotte;Jorge Luis Borges;Günter Grass;Sirano de Bergerac;Don Quichotte
Quelle est la capitale du Cameroun ? ;Douala;Bertoua;Yaoundé;Luanda;Yaoundé
Qui est la muse de l'Histoire dans la mythologie grecque ?;Clio;Calliope;Uranie;Euterpe;Clio
Dans la mythologie grecque, qui est le dieu des voleurs ? ;Horus;Hermès;Helheim;Hélios;Hermès
Quel est le véritable prénom de M. Pokora ? ;Matt;Matthieu;Mathéo;Mathias;Matthieu
Quel couple de petits personnages rouge et bleu s'anime en 1974 ? ;Boule & Bill;Titi & Grosminet;Coyotte & Bip bip;Chapi & Chapo;Chapi & Chapo
Quel sirop consommez-vous si vous buvez un Monaco ?;Cerise;Framboise;Menthe ;Grenadine;Grenadine
Comment s'appelle le chevalier dans Zelda ? ;Link;Zelda;Gooruk;Revali;Link
Comment s'appelle la princesse dans Mario Galaxy ?;Peach;Daisy;Harmonie;Queen;Harmonie
Dans quoi se cache le célèbre personnage dans Metal gear solid ? ;Un carton;Un buisson;Une cabine télephonique;Un sac de couchage;Un carton
Combien y'a-t-il de pokémons dans la 1er géneration ?;160;151;161;150;151
Quel est la mascotte dans pokémon ?;Pikachu;Evoli;Rondoudou;Insolourdo;Pikachu
Un berger a 16 brebis, toutes meurent sauf 10. Combien lui en reste-t-il ?;10;6;16;0;10
Au Japon, qu'est-ce qu'un yakuza ? ;Un vendeur de drogue;Une vendeur de tapis;Un membre de la mafia;Un pilier économique;Un membre de la mafia
Sur une batterie comment appelle t'on le plus gros tambour ?;La caisse clair;Le charlestone;La grosse caisse;La symbale;La grosse caisse
Au taekwondo quel est l'ordre des ceintures ? ;blanche, jaune, verte, bleu, rouge, noir;blanche, jaune, orange, rouge, noir;jaune, verte, bleu, violet, noir;jaune, verte, bleu, rose, brun, noir;blanche. Jaune, verte, bleu, rouge, noir
Combien fait le double du triple de la moitié de 6 ?;30;18;6;3;18
"Quel animal est Pan-Pan dans ""Bambi"" ?";Un lapin;Une biche;Un tigre;Un loup;Un lapin
Quel nom porte le ragoût hongrois fait avec des oignons et du paprika ?;La poutine;Le goulasch;L'igloo;Le bacalhau;Le goulash
A quelle occasion les joueurs de football forment-ils un mur ?;Un corner;Un pénalti;Un coup franc;A l'engagement;Un coup franc
Quelle pièce d'un jeu d'échecs peut se transformer en reine ?;Le roi;Le cheval;La tour;Le pion;Le pion
"Combien d'épisodes comporte la saga cinématographique en 2018 : ""Star Wars"" ?";6;7;8;9;8
Dans quel pays Ségolène Royal est-elle née ?;En France;Au Sénégal;En Belgique;En Allemagne;Au Sénégal
"Quel personnage animé a pour gimmick : ""C'est vraiment trop injuste !"" ?";Popey;Titeuf;Calimero;Pikachu;Calimero
De quel arbre le coing est-il le fruit ?;Le cognassier;L'arbre a coing;Le coing;Le coingner;Le cognassier
"Quel joueur de football français était surnommé ""le président"" ?";Thierry Henri;Laurent Blanc;Lionel Messi;Kylian Mbappé;Laurent Blanc
Combien de doigts Mickey a-t-il à chaque main ?;2;5;3;4;4
Au poker, que faut-il ajouter à une paire pour obtenir un full ?;Une carte;Une autre paire;Un brelan;Un carré;Un brelan
Avec le rouge et le bleu, quelle est la 3e des couleurs dites primaires ?;Jaune;Vert;Violet;Orange;Jaune
Quelle arme était le symbole du dieu grec Poséidon ?;Un arc;Un marteau;Un trident;Une épée;Un trident
Dans quel pays l'emmenthal a-t-il été inventé ?;La France;La Belgique;L'Espagne;La Suisse;La suisse
Quels animaux de dessins animés sont Tic et Tac ? ;Des écureuils;Des chiens;Des chats;Des hamsters;Des écureuils
"Quel ""petit ourson"", ami d'un Indien, a été chanté par Chantal Goya ?";Booba;Boba;Bouba;Bobo;Bouba
Qui est, pour moi, le fils du père du frère de ma mère ?;Mon cousin;Mon conle;Ma cousine;Mon beau père;Mon oncle
De quelle couleur est le chapeau du Professeur Tournesol ?;Vert;Bleu;Rouge;Noir;Vert
Quel était l'instrument de prédilection de Vladimir Horowitz ?;La guitare;Le piano;Le violon;La clarinette;Le piano
"Quel est le prénom du personnage nommé Leblanc dans ""Le Dîner de cons"" ?";Just;Hervé;False;Nicolas;Just
Quel signal sonore annonce aux boxeurs le début et la fin d'un round ?;Un sifflet;L'aribtre crie;Le gong;Une sonnette;Le gong
Qui est le premier compagnon à rejoindre Luffy dans l'équipage;Koby;Zoro;Nami;Chopper;Zoro
Dans quel membre du corps humain est situé l'humérus ?;La jambe;Le cou;Le torse;Le bras;Le bras
Avec le fleuret et l'épée, quelle est la troisième arme de l'escrime ?;La dague;Le sabre;La lance;Un marteau;Le sabre
Quel insecte attise le coche dans une fable de Jean de La Fontaine ?;La mouche;La sauterelle;Le papillon;Le scarabée;La mouche
Laquelle de ces marques n'est pas une marques de voiture ?;Renault;Seat;Kawazaki;Ford;Kawazaki
Lequelle de ces jeux n'as pas été developpé par Blizzard ? ;Overwatch;Rainbow Six Seige;HearthStone;Heroes of the Storm;Rainbow Six Siege
En Grèce, à base de quel légume vert se prépare le tzatziki ?;La carotte;Le brocoli;Les épinards;Le concombre;Le concombre
"A quel poète doit-on ""Le Dormeur du val"" ? ";Victor Hugo;Paul Verlaine;Charles Baudelaire;Arthur Rimbaud;Arthur Rimbaud
En mathématiques, quel ensemble de nombres est désigné par la lettre R ?;Les nombres rétréci;Les nombres réduits;Les nombres rattrapables;Les nombres réels;Les nombres réels
Dans quel groupe de hard-rock Angus Young joue-t-il habillé en collégien ?;AC/DC;Led Zeppelin;Disturbed;Guns N' Roses;AC/DC
Quelle est la monnaie du Maroc ?;Le dirham;Le pesos;Le dollar;L'Euro;Le dirham
A Paris, où reposent les cendres de Jean Moulin ?;A l'hotel de ville;Au cimtière;Au Panthéon;Sous la tour eiffel;Au Panthéon
Combien de temps met-on pour faire 30 kilomètres en roulant à 90 km/h ?;10 minutes;15 minutes;20 minutes;30 minutes;20 minutes
En Russie, qu'est-ce qu'une balalaïka ?;Un plat;Une danse;Une tradition;Un instrument;Un instrument
Quel édifice berlinois est associé au mot Brandebourg ?;Un mur;Une porte;Une maison;Un aqueduc;Une porte
"Quel groupe de rock fut surnommé les ""Fab Four"" ?";Queen;Les Beatles;Les Rolling Stones;Pink Floyd;Les Beatles
Quelles sont dans l'ordre les trois couleurs du drapeau italien ?;Vert, Blanc, Rouge;Rouge, Blanc, Vert;Rouge, Vert, Blanc;Vert, Rouge, Blanc;Vert, Blanc, Rouge
De quelle infirmité est affecté le superhéros Daredevil ?;Il est aveugle;Il est muet;Il est sourt;Il n'as pas d'odorat;Il est aveugle
Combien font 30% de 30 ?;1;10;9;3;9
Quel animal monstrueux était Cerbère dans la mythologie grecque ?;Un chien;Un poisson;Un tigre;Un ours;Un tigre
A quel courant musical est associé le groupe Village People ?;Disco;Rock;Rap;Reggae;Disco
"Quelle chanteuse interprète le tube ""Juste quelqu'un de bien"" en 1994 ?";Enzo Enzo;Lola Lola;Jeanette Jeanette;Patrick;Enzo Enzo
"Quel est le premier chiffre à taper sur le clavier d'un portable (3310) pour écrire ""Noël"" dans un texto ?";6;8;7;5;6
"A quel auteur de théâtre doit-on la pièce ""Le Système Ribadier"" ?";Georges Feydeau;Shakespeare;Jean Racine;Molière;Georges Feydeau
Avec le blanc, quelle est l'autre couleur du drapeau danois ?;Rouge;Bleu;Jaune;violet;Rouge
"A quel auteur-compositeur doit-on la chanson ""L'Eau vive"" en 1958 ?";Guy Béart;Black M;Serge Lama;Nicolas Verin;Guy Béart
Dans quelle épreuve de saut Jean Galfione s'est-il principalement illustré ?;Le saut à la perche;Le saut en longueur;le saut à ski;Le saut ;Le saut à la perche
Combien y a-t-il de décimètres dans un décamètre ?;10;100;1000;1;100
Dans un slalom, comment appelle-t-on les espaces entre deux piquets par lesquels doivent passer les skieurs ?;Les portes;Les ponts;Les carres;Les pitches;Les portes
A quel pays appartiennent les îles Tuamotu ?;France;Espagne;Portugal;Angleterre;France
Combien y a-t-il de milligrammes dans un demi-gramme ?;500;100;50;10;500
Quel animal est associé aux Baskerville dans un roman de Conan Doyle ?;Le chien;Le chat;L'autruche;Le lion;Le chien
"Quel monument parisien visite-t-on grâce au ""fantôme"" du livre de Gaston Leroux ?";L'Opéra;La tour Eiffel;Le château de Versaille;Le louvre;L'Opéra
"A quelle femme écrivain doit-on le roman ""Sous les vents de Neptune"" ?";Fred Varagas;Valp;J.K Rolling;Maryse Condé;Fred Varagas
En quelle année les billets et pièces en euros ont-ils été mis en circulation ?;2002;2000;1998;1980;2002
A quelle saison sont associés les rouleaux proposés dans la cuisine asiatique ?;Printemps;Eté;Automne;Hiver;Printemps
Aux jeux Olympiques, quelle est la plus longue distance (en mètre) disputée actuellement en natation ?;10000;1000;100;100000;10000
A quelle série télévisée appartiennent les inspecteurs Pujol et Terrasson ?;Brigades du Tigre;Starsky et Hutch;Alerte Cobra;NCIS;Brigades du Tigre
Quel parti politique, fondé par Jacques Chirac, a été dissous en 2002 pour laisser place à l'UMP ?;Le RPR;Le FN;Le PS;L'UDC (lol);Le RPR
Au billard, quelle couleur désigne le dé de craie qui facilite l'adhérence de la queue sur la boule ?;Le bleu;La craie;L'adhérateur;Le bouquet;Le bleu
Au blackjack, combien de points vaut une dame ?;10;13;12;9;10
"Qui chante le titre ""Qui de nous deux"" en 2003 ?";M;N;O;P;M
"Au poker, que fait un joueur quand il ""fait tapis"" ?";Il mise tout;Il arrête de jouer;Il récupère son argent;Il insulte un autre joueur;Il mise tout
Quelle est la vingtième lettre de notre alphabet ?;S;T;R;U;T
Au rugby, combien de joueurs au total entrent sur le terrain au début d'un match du tournoi des 6 Nations ?;30;20;11;18;30
Qui a été le seul président par interim de la 5e République ?;Alain Poher;François Hollande;Nicolas Sarkozy;Abraham Lincoln;Alain Poher
Aux Etats-Unis, quel nom porte le site qui abrite les visages de quatre présidents taillés dans la roche ?;Le mont Rushmore;Le mont Grüezi;Le mont Rainier;Le mont Sir Sandford;Le mont Rushmore
"Comment sont ""les paradis"" d'après le titre d'un essai de Charles Baudelaire ?";Artificiels;Reposants;Inaccessibles;Swag;Artificiels
Dans le conte de Charles Perrault, combien le petit Poucet a-t-il de soeurs ?;0;5;1;7;0
Au rugby, avec quelle partie du corps la remise en jeu s'effectue-t-elle lors d'une touche ?;Main;Pied;Coude;Aisselles;Main
Avec quel comédien Eric Judor forme-t-il un célèbre duo comique ?;jamel debbouze;ramzy bedia;david lafarge pokémon;Louis de Funès;ramzy bedia
Quel est le seul volcan actif de la Martinique ?;La montagne Pelée;La morne Clochette;la morne Jacqueline;La morne Larcher;La montagne Pelée
"Quel lien de parenté unit Anne à l'épouse de ""Barbe-Bleue"" dans le conte de Charles Perrault ?";Belle-soeur;Sœur;Mère;Fille;Sœur
De quel célèbre groupe, créé en 1968, Robert Plant est-il le chanteur ?;Scorpion;Led Zeppelin;Rolling Stones;Police;Led Zeppelin
"Combien d'années s'écoulent entre deux ""Mondial de l'automobile"" à Paris ?";4 ans;2 ans;1 an;10 ans;2 ans
Combien font 4 divisés par 0,25 ?;16;12;8;1;16
Quel philosophe du 17e siècle est à la base de la pensée cartésienne ?;Descartes;Molière;Voltaire;Rousseau;Descartes
Combien y a-t-il de centimètres dans un décimètre ?;10;100;1;1000;10
Quel mot d'origine russe désigne la chambre basse du Parlement en Russie ?;Douma;Souka;Briet;Dobriden;Douma
A quelle famille de plantes le concombre appartient-il ?;Les cucurbitacées;Les légumes;Les légumineuse;Les canidés;Les cucurbitacées
Au restaurant, que vous sert-on si vous avez demandé du goujon ?;Du poisson;Un vin de préstige;Du thé;Une escalope panée;Du poisson
